derepID	derepSize	taxid	taxname	rank	group	group.rank	superkingdom	kingdom	phylum	class	order	family	genus	species	amp_length
KT347599.1_q914_a99	1	884673	Loxodon macrorhinus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Loxodon	Loxodon macrorhinus	99
KJ619663.1_q915_a98	1	661037	Squatina japonica	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes		Squatinidae	Squatina	Squatina japonica	98
AY830718.1_q365_a98	2	57980	Alopias superciliosus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Lamniformes	Alopiidae	Alopias	Alopias superciliosus	98
KF728380.1_q914_a100	6	303932	Carcharhinus acronotus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus acronotus	100
AY830720.1_q365_a98	3	7852	Alopias vulpinus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Lamniformes	Alopiidae	Alopias	Alopias vulpinus	98
AY830722.1_q366_a100	1	303933	Carcharhinus altimus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus altimus	100
KT119410.1_q933_a98	1	307038	Narcine brasiliensis	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Torpediniformes	Narcinidae	Narcine	Narcine brasiliensis	98
AY830723.1_q366_a100	2	263685	Carcharhinus brevipinna	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus brevipinna	100
KT119411.1_q928_a98	1	1343680	Narcine bancroftii	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Torpediniformes	Narcinidae	Narcine	Narcine bancroftii	98
AY830725.1_q366_a100	5	202609	Carcharhinus falciformis	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus falciformis	100
AY830727.1_q366_a99	1	303934	Carcharhinus isodon	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus isodon	99
JQ821835.1_q900_a105	2	61622	Rhinopithecus roxellana	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	Rhinopithecus roxellana	105
AY830728.1_q316_a99	1	303934	Carcharhinus isodon	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus isodon	99
KU159431.1_q905_a99	2	27585	Chlamydoselachus anguineus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Hexanchiformes	Chlamydoselachidae	Chlamydoselachus	Chlamydoselachus anguineus	99
NC_042256.1_q915_a101	2	202609	Carcharhinus falciformis	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus falciformis	101
AY830729.1_q366_a100	1	303934	Carcharhinus isodon	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus isodon	100
AY830730.1_q366_a100	3	46612	Carcharhinus leucas	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus leucas	100
AY830731.1_q366_a100	2	61865	Carcharhinus limbatus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus limbatus	100
AY830732.1_q366_a99	1	61865	Carcharhinus limbatus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus limbatus	99
JQ821840.1_q900_a105	1	310352	Pygathrix nigripes	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes	105
AY830733.1_q366_a100	5	302049	Carcharhinus longimanus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus longimanus	100
JQ821841.1_q900_a105	1	1194332	Pygathrix cinerea 1 RL-2012	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix cinerea 1 RL-2012	105
NC_040922.1_q919_a98	2	495869	Mobula tarapacana	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Myliobatiformes	Myliobatidae	Mobula	Mobula tarapacana	98
JQ821842.1_q900_a104	1	1194333	Pygathrix cinerea 2 RL-2012	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix cinerea 2 RL-2012	104
KF894491.1_q3958_a99	45	94987	Hexanchus griseus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Hexanchiformes	Hexanchidae	Hexanchus	Hexanchus griseus	99
AY830737.1_q366_a100	3	7807	Carcharhinus obscurus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus obscurus	100
FJ853422.1_q912_a98	2	36176	Chiloscyllium plagiosum	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium plagiosum	98
AY830740.1_q366_a100	3	303935	Carcharhinus perezii	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus perezii	100
AY830741.1_q366_a100	1	7808	Carcharhinus plumbeus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus plumbeus	100
KU892588.1_q912_a99	5	495852	Etmopterus pusillus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Etmopteridae	Etmopterus	Etmopterus pusillus	99
Y18134.1_q910_a98	3	7797	Squalus acanthias	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	98
AY830742.1_q366_a100	2	7808	Carcharhinus plumbeus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus plumbeus	100
KU892589.1_q917_a99	1	1214693	Halaelurus buergeri	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Scyliorhinidae	Halaelurus	Halaelurus buergeri	99
AY830743.1_q366_a99	9	7810	Carcharhinus porosus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus porosus	99
AY830744.1_q366_a100	1	303943	Carcharhinus signatus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus signatus	100
KU746824.1_q924_a98	1	335006	Rhynchobatus australiae	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Pristiformes/Rhiniformes group	Rhynchobatidae	Rhynchobatus	Rhynchobatus australiae	98
AY830745.1_q367_a98	3	7801	Ginglymostoma cirratum	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Orectolobiformes	Ginglymostomatidae	Ginglymostoma	Ginglymostoma cirratum	98
AY830746.1_q366_a99	6	7819	Galeocerdo cuvier	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Galeocerdo	Galeocerdo cuvier	99
AY830747.1_q365_a98	5	57983	Isurus oxyrinchus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Lamniformes	Alopiidae	Isurus	Isurus oxyrinchus	98
MF489911.1_q904_a101	33	7892	Neoceratodus forsteri	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata		Ceratodontiformes	Ceratodontidae	Neoceratodus	Neoceratodus forsteri	101
AY830751.1_q365_a98	3	7847	Isurus paucus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Lamniformes	Alopiidae	Isurus	Isurus paucus	98
AY442348.1_q958_a99	1	27687	Erpetoichthys calabaricus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Cladistia	Polypteriformes	Polypteridae	Erpetoichthys	Erpetoichthys calabaricus	99
AY830752.1_q365_a98	4	7849	Lamna nasus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Lamniformes	Alopiidae	Lamna	Lamna nasus	98
KF623030.1_q921_a98	14	491014	Raja pulchra	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	Raja pulchra	98
AY830754.1_q368_a98	1	7812	Mustelus canis	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus canis	98
AY830755.1_q366_a98	1	303944	Mustelus norrisi	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus norrisi	98
KF889325.1_q910_a98	1	89020	Mustelus griseus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Triakidae	Mustelus	Mustelus griseus	98
EF081261.1_q881_a99	1	420456	Rostroraja alba	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Rostroraja	Rostroraja alba	99
KM489157.1_q914_a99	5	195335	Sphyrna zygaena	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Sphyrna	Sphyrna zygaena	99
EF081262.1_q882_a99	1	420457	Malacoraja kreffti	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Malacoraja	Malacoraja kreffti	99
EF081263.1_q881_a99	1	223862	Raja brachyura	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	Raja brachyura	99
AY830759.1_q365_a98	1	30501	Carcharias taurus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Lamniformes	Odontaspididae	Carcharias	Carcharias taurus	98
EF081264.1_q881_a99	1	223863	Raja microocellata	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	Raja microocellata	99
AY830760.1_q366_a99	5	7815	Prionace glauca	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Prionace	Prionace glauca	99
EF081265.1_q881_a99	1	420458	Dipturus tengu	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Dipturus	Dipturus tengu	99
EF081266.1_q881_a99	3	420459	Dipturus nidarosiensis	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Dipturus	Dipturus nidarosiensis	99
AY830763.1_q366_a98	1	303945	Rhizoprionodon terraenovae	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Rhizoprionodon	Rhizoprionodon terraenovae	98
AY830764.1_q366_a98	1	303945	Rhizoprionodon terraenovae	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Rhizoprionodon	Rhizoprionodon terraenovae	98
EF081269.1_q880_a99	2	182854	Dipturus oxyrinchus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Dipturus	Dipturus oxyrinchus	99
KJ865755.1_q911_a100	1	443759	Carcharhinus macloti	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus macloti	100
KY464952.1_q914_a99	3	195334	Sphyrna mokarran	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Sphyrna	Sphyrna mokarran	99
AF420041.1_q63_a104	3	33548	Colobus guereza	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Colobus	Colobus guereza	104
AF420042.1_q63_a104	4	54133	Pygathrix nemaeus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nemaeus	104
EF081271.1_q881_a99	5	420460	Dipturus batis	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Dipturus	Dipturus batis	99
AF420043.1_q63_a104	1	88029	Semnopithecus entellus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Semnopithecus	Semnopithecus entellus	104
AY830767.1_q365_a98	1	303946	Squatina dumeril	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes		Squatinidae	Squatina	Squatina dumeril	98
AY830768.1_q365_a99	1	7823	Sphyrna lewini	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Sphyrna	Sphyrna lewini	99
KJ174502.1_q900_a105	1	54180	Trachypithecus francoisi	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus francoisi	105
KJ174503.1_q899_a105	1	122765	Trachypithecus cristatus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus cristatus	105
AY830770.1_q366_a99	4	7824	Sphyrna tiburo	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Sphyrna	Sphyrna tiburo	99
EF081276.1_q880_a99	5	420462	Dipturus sp. SPI-2007	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Dipturus	Dipturus sp. SPI-2007	99
MH190802.1_q244_a98	1	195299	Telatrygon zugei	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Myliobatiformes	Dasyatidae	Telatrygon	Telatrygon zugei	98
EF081281.1_q872_a98	129	13397	Carcharodon carcharias	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Lamniformes	Alopiidae	Carcharodon	Carcharodon carcharias	98
Z48715.1_q816_a98	1	7883	Lepidosiren paradoxa	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata		Lepidosireniformes	Lepidosirenidae	Lepidosiren	Lepidosiren paradoxa	98
KF597303.1_q910_a99	23	57982	Cetorhinus maximus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Lamniformes	Alopiidae	Cetorhinus	Cetorhinus maximus	99
KF679782.1_q913_a100	3	259920	Rhincodon typus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Orectolobiformes	Rhincodontidae	Rhincodon	Rhincodon typus	100
MF489942.1_q904_a101	10	7892	Neoceratodus forsteri	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata		Ceratodontiformes	Ceratodontidae	Neoceratodus	Neoceratodus forsteri	101
MF682494.1_q919_a100	2	685728	Pristis pectinata	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Pristiformes/Rhiniformes group	Pristidae	Pristis	Pristis pectinata	100
AB847550.1_q403_a102	3	1465592	Leptolalax sabahmontanus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Amphibia	Anura	Megophryidae	Leptolalax	Leptolalax sabahmontanus	102
AP004350.1_q1236_a99	5	27687	Erpetoichthys calabaricus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Cladistia	Polypteriformes	Polypteridae	Erpetoichthys	Erpetoichthys calabaricus	99
NC_037962.1_q922_a99	3	1036015	Dipturus innominatus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Dipturus	Dipturus innominatus	99
AP004352.1_q906_a98	1	178879	Polypterus senegalus senegalus	subspecies	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Cladistia	Polypteriformes	Polypteridae	Polypterus	Polypterus senegalus	98
NC_037963.1_q917_a98	2	458561	Bathyraja multispinis	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Arhynchobatidae	Bathyraja	Bathyraja multispinis	98
NC_037964.1_q917_a98	2	458555	Bathyraja albomaculata	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Arhynchobatidae	Bathyraja	Bathyraja albomaculata	98
NC_037965.1_q917_a98	2	458558	Bathyraja griseocauda	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Arhynchobatidae	Bathyraja	Bathyraja griseocauda	98
KR019776.1_q924_a98	2	195307	Himantura uarnak	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Myliobatiformes	Dasyatidae	Himantura	Himantura uarnak	98
NC_037966.1_q921_a99	3	496415	Zearaja maugeana	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Zearaja	Zearaja maugeana	99
KR019777.1_q919_a98	4	651721	Neotrygon kuhlii	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Myliobatiformes	Dasyatidae	Neotrygon	Neotrygon kuhlii	98
KF840390.1_q918_a98	1	1452449	Himantura microphthalma	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Myliobatiformes	Dasyatidae	Himantura	Himantura microphthalma	98
NC_037967.1_q922_a99	2	182854	Dipturus oxyrinchus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Dipturus	Dipturus oxyrinchus	99
NC_037968.1_q922_a99	3	223888	Leucoraja naevus	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja naevus	99
NC_037969.1_q922_a99	3	213384	Leucoraja circularis	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Leucoraja	Leucoraja circularis	99
KU057952.1_q913_a99	1	378071	Stegostoma fasciatum	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Orectolobiformes	Stegostomatidae	Stegostoma	Stegostoma fasciatum	99
KC914433.1_q920_a99	1	1352416	Hongeo koreana	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Hongeo	Hongeo koreana	99
NC_037970.1_q922_a99	2	182852	Raja asterias	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	Raja asterias	99
KJ128289.2_q913_a98	1	662068	Cirrhigaleus australis	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Cirrhigaleus	Cirrhigaleus australis	98
KM244769.1_q920_a98	1	1577495	Himantura dalyensis	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Myliobatiformes	Dasyatidae	Himantura	Himantura dalyensis	98
NC_037971.1_q922_a99	2	223861	Raja polystigma	species	Eukaryota/Metazoa/Chordata/Chordata-subgroup-1	class	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	Raja polystigma	99
